********************************************************************************
Field Output Report, written Wed Jul 05 09:17:14 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_20_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2            1.           -0.
             3            2.           -0.
             4            3.           -0.
             5            4.            0.
             6            5.            0.
             7            6.           -0.
             8            7.            0.
             9            8.            0.
            10     1.667E-33    -300.0E-03
            11            1.    -300.0E-03
            12            2.    -300.0E-03
            13            3.    -300.0E-03
            14            4.    -300.0E-03
            15            5.    -300.0E-03
            16            6.    -300.0E-03
            17            7.    -300.0E-03
            18            8.    -300.0E-03
            19     1.667E-33    -600.0E-03
            20            1.    -600.0E-03
            21            2.    -600.0E-03
            22            3.    -600.0E-03
            23            4.    -600.0E-03
            24            5.    -600.0E-03
            25            6.    -600.0E-03
            26            7.    -600.0E-03
            27            8.    -600.0E-03
            28     1.667E-33    -900.0E-03
            29            1.    -900.0E-03
            30            2.    -900.0E-03
            31            3.    -900.0E-03
            32            4.    -900.0E-03
            33            5.    -900.0E-03
            34            6.    -900.0E-03
            35            7.    -900.0E-03
            36            8.    -900.0E-03
            37     1.667E-33        -1.200
            38            1.        -1.200
            39            2.        -1.200
            40            3.        -1.200
            41            4.        -1.200
            42            5.        -1.200
            43            6.        -1.200
            44            7.        -1.200
            45            8.        -1.200
            46     1.667E-33          -1.5
            47            1.          -1.5
            48            2.          -1.5
            49            3.          -1.5
            50            4.          -1.5
            51            5.          -1.5
            52            6.          -1.5
            53            7.          -1.5
            54            8.          -1.5
            55           -0.        -1.800
            56            1.        -1.800
            57            2.        -1.800
            58            3.        -1.800
            59            4.        -1.800
            60            5.        -1.800
            61            6.        -1.800
            62            7.        -1.800
            63            8.        -1.800
            64      500.E-03            0.
            65            1.    -150.0E-03
            66      500.E-03    -300.0E-03
            67           -0.    -150.0E-03
            68           1.5           -0.
            69            2.    -150.0E-03
            70           1.5    -300.0E-03
            71           2.5            0.
            72            3.    -150.0E-03
            73           2.5    -300.0E-03
            74           3.5            0.
            75            4.    -150.0E-03
            76           3.5    -300.0E-03
            77           4.5           -0.
            78            5.    -150.0E-03
            79           4.5    -300.0E-03
            80           5.5            0.
            81            6.    -150.0E-03
            82           5.5    -300.0E-03
            83           6.5            0.
            84            7.    -150.0E-03
            85           6.5    -300.0E-03
            86           7.5           -0.
            87            8.    -150.0E-03
            88           7.5    -300.0E-03
            89            1.    -450.0E-03
            90      500.E-03    -600.0E-03
            91           -0.    -450.0E-03
            92            2.    -450.0E-03
            93           1.5    -600.0E-03
            94            3.    -450.0E-03
            95           2.5    -600.0E-03
            96            4.    -450.0E-03
            97           3.5    -600.0E-03
            98            5.    -450.0E-03
            99           4.5    -600.0E-03
           100            6.    -450.0E-03
           101           5.5    -600.0E-03
           102            7.    -450.0E-03
           103           6.5    -600.0E-03
           104            8.    -450.0E-03
           105           7.5    -600.0E-03
           106            1.     -750.E-03
           107      500.E-03    -900.0E-03
           108           -0.     -750.E-03
           109            2.     -750.E-03
           110           1.5    -900.0E-03
           111            3.     -750.E-03
           112           2.5    -900.0E-03
           113            4.     -750.E-03
           114           3.5    -900.0E-03
           115            5.     -750.E-03
           116           4.5    -900.0E-03
           117            6.     -750.E-03
           118           5.5    -900.0E-03
           119            7.     -750.E-03
           120           6.5    -900.0E-03
           121            8.     -750.E-03
           122           7.5    -900.0E-03
           123            1.        -1.050
           124      500.E-03        -1.200
           125           -0.        -1.050
           126            2.        -1.050
           127           1.5        -1.200
           128            3.        -1.050
           129           2.5        -1.200
           130            4.        -1.050
           131           3.5        -1.200
           132            5.        -1.050
           133           4.5        -1.200
           134            6.        -1.050
           135           5.5        -1.200
           136            7.        -1.050
           137           6.5        -1.200
           138            8.        -1.050
           139           7.5        -1.200
           140            1.        -1.350
           141      500.E-03          -1.5
           142           -0.        -1.350
           143            2.        -1.350
           144           1.5          -1.5
           145            3.        -1.350
           146           2.5          -1.5
           147            4.        -1.350
           148           3.5          -1.5
           149            5.        -1.350
           150           4.5          -1.5
           151            6.        -1.350
           152           5.5          -1.5
           153            7.        -1.350
           154           6.5          -1.5
           155            8.        -1.350
           156           7.5          -1.5
           157            1.        -1.650
           158      500.E-03        -1.800
           159           -0.        -1.650
           160            2.        -1.650
           161           1.5        -1.800
           162            3.        -1.650
           163           2.5        -1.800
           164            4.        -1.650
           165           3.5        -1.800
           166            5.        -1.650
           167           4.5        -1.800
           168            6.        -1.650
           169           5.5        -1.800
           170            7.        -1.650
           171           6.5        -1.800
           172            8.        -1.650
           173           7.5        -1.800


  Minimum                -0.        -1.800
       At Node           159           173

  Maximum                 8.           -0.
       At Node           172            86

         Total          692.        -155.7


