********************************************************************************
Field Output Report, written Tue Jul 04 09:15:07 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_UNIAX_ELASTIC_elem_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2      250.E-03            0.
             3      500.E-03            0.
             4      750.E-03           -0.
             5            1.            0.
             6          1.25           -0.
             7           1.5           -0.
             8          1.75           -0.
             9            2.           -0.
            10          2.25           -0.
            11           2.5           -0.
            12          2.75            0.
            13            3.            0.
            14          3.25           -0.
            15           3.5            0.
            16          3.75            0.
            17            4.            0.
            18          4.25           -0.
            19           4.5            0.
            20          4.75           -0.
            21            5.           -0.
            22          5.25            0.
            23           5.5            0.
            24          5.75           -0.
            25            6.            0.
            26          6.25           -0.
            27           6.5            0.
            28          6.75           -0.
            29            7.           -0.
            30          7.25           -0.
            31           7.5            0.
            32          7.75           -0.
            33            8.           -0.
            34     1.250E-33    -75.00E-03
            35      250.E-03    -75.00E-03
            36      500.E-03    -75.00E-03
            37      750.E-03    -75.00E-03
            38            1.    -75.00E-03
            39          1.25    -75.00E-03
            40           1.5    -75.00E-03
            41          1.75    -75.00E-03
            42            2.    -75.00E-03
            43          2.25    -75.00E-03
            44           2.5    -75.00E-03
            45          2.75    -75.00E-03
            46            3.    -75.00E-03
            47          3.25    -75.00E-03
            48           3.5    -75.00E-03
            49          3.75    -75.00E-03
            50            4.    -75.00E-03
            51          4.25    -75.00E-03
            52           4.5    -75.00E-03
            53          4.75    -75.00E-03
            54            5.    -75.00E-03
            55          5.25    -75.00E-03
            56           5.5    -75.00E-03
            57          5.75    -75.00E-03
            58            6.    -75.00E-03
            59          6.25    -75.00E-03
            60           6.5    -75.00E-03
            61          6.75    -75.00E-03
            62            7.    -75.00E-03
            63          7.25    -75.00E-03
            64           7.5    -75.00E-03
            65          7.75    -75.00E-03
            66            8.    -75.00E-03
            67     1.250E-33    -150.0E-03
            68      250.E-03    -150.0E-03
            69      500.E-03    -150.0E-03
            70      750.E-03    -150.0E-03
            71            1.    -150.0E-03
            72          1.25    -150.0E-03
            73           1.5    -150.0E-03
            74          1.75    -150.0E-03
            75            2.    -150.0E-03
            76          2.25    -150.0E-03
            77           2.5    -150.0E-03
            78          2.75    -150.0E-03
            79            3.    -150.0E-03
            80          3.25    -150.0E-03
            81           3.5    -150.0E-03
            82          3.75    -150.0E-03
            83            4.    -150.0E-03
            84          4.25    -150.0E-03
            85           4.5    -150.0E-03
            86          4.75    -150.0E-03
            87            5.    -150.0E-03
            88          5.25    -150.0E-03
            89           5.5    -150.0E-03
            90          5.75    -150.0E-03
            91            6.    -150.0E-03
            92          6.25    -150.0E-03
            93           6.5    -150.0E-03
            94          6.75    -150.0E-03
            95            7.    -150.0E-03
            96          7.25    -150.0E-03
            97           7.5    -150.0E-03
            98          7.75    -150.0E-03
            99            8.    -150.0E-03
           100     1.250E-33    -225.0E-03
           101      250.E-03    -225.0E-03
           102      500.E-03    -225.0E-03
           103      750.E-03    -225.0E-03
           104            1.    -225.0E-03
