********************************************************************************
Field Output Report, written Fri Jun 30 12:56:54 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1           -0.           -0.
             2     375.7E-03     272.4E-03
             3     573.7E-03     447.4E-03
             4     801.3E-03     670.2E-03
             5     963.5E-03     871.4E-03
             6         1.137         1.103
             7         1.271         1.327
             8         1.406         1.573
             9         1.515         1.817
            10         1.618         2.076
            11         1.701         2.335
            12         1.776         2.606
            13         1.834         2.877
            14         1.881         3.155
            15         1.913         3.434
            16         1.933         3.717
            17         1.939            4.
            18         1.933         4.283
            19         1.913         4.566
            20         1.881         4.845
            21         1.834         5.123
            22         1.776         5.394
            23         1.701         5.665
            24         1.618         5.924
            25         1.515         6.183
            26         1.406         6.427
            27         1.271         6.673
            28         1.137         6.897
            29     963.5E-03         7.129
            30     801.3E-03         7.330
            31     573.7E-03         7.553
            32     375.7E-03         7.728
            33            0.            8.
            34     1.228E-33     544.4E-36
            35     180.1E-03     168.6E-03
            36     434.9E-03     409.8E-03
            37     596.8E-03     600.4E-03
            38     781.9E-03     834.8E-03
            39     917.2E-03         1.050
            40         1.061         1.295
            41         1.172         1.532
            42         1.283         1.790
            43         1.371         2.045
            44         1.453         2.315
            45         1.518         2.584
            46         1.574         2.863
            47         1.616         3.143
            48         1.647         3.428
            49         1.664         3.713
            50         1.671            4.
            51         1.664         4.287
            52         1.647         4.572
            53         1.616         4.857
            54         1.574         5.137
            55         1.518         5.416
            56         1.453         5.685
            57         1.371         5.955
            58         1.283         6.210
            59         1.172         6.468
            60         1.061         6.705
            61     917.2E-03         6.950
            62     781.9E-03         7.165
            63     596.8E-03         7.400
            64     434.9E-03         7.590
            65     180.1E-03         7.831
            66     1.228E-33            8.
            67     1.003E-33     441.3E-36
            68     163.0E-03     156.1E-03
            69     297.3E-03     342.1E-03
            70     481.5E-03     572.6E-03
            71     609.4E-03     779.8E-03
            72     756.5E-03         1.022
            73     866.0E-03         1.252
            74     981.7E-03         1.508
            75         1.071         1.757
            76         1.160         2.025
            77         1.229         2.291
            78         1.292         2.570
            79         1.340         2.848
            80         1.380         3.134
            81         1.407         3.420
            82         1.424         3.710
            83         1.429            4.
            84         1.424         4.290
            85         1.407         4.580
            86         1.380         4.866
            87         1.340         5.152
            88         1.292         5.430
            89         1.229         5.709
            90         1.160         5.975
            91         1.071         6.243
            92     981.7E-03         6.492
            93     866.0E-03         6.748
            94     756.5E-03         6.978
            95     609.4E-03         7.220
            96     481.5E-03         7.427
            97     297.3E-03         7.658
            98     163.0E-03         7.844
            99     1.003E-33            8.
           100     863.3E-36     438.5E-36
           101     116.8E-03     144.0E-03
           102     255.7E-03     329.4E-03
           103     363.0E-03     527.2E-03
           104     502.4E-03     759.2E-03
           105     603.5E-03     980.6E-03
           106     719.1E-03         1.231
           107     806.0E-03         1.474
           108     897.4E-03         1.739
           109     967.6E-03         1.999
           110         1.036         2.276
           111         1.088         2.551
           112         1.135         2.837
