********************************************************************************
Field Output Report, written Wed Jul 05 10:40:49 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_ELASTIC_elemSize_5_160x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2     348.7E-03     246.4E-03
             3     584.7E-03     453.8E-03
             4     788.6E-03     661.3E-03
             5     968.8E-03     875.0E-03
             6         1.129         1.098
             7         1.273         1.329
             8         1.402         1.570
             9         1.515         1.818
            10         1.615         2.074
            11         1.701         2.336
            12         1.774         2.604
            13         1.833         2.877
            14         1.879         3.155
            15         1.912         3.435
            16         1.931         3.717
            17         1.938            4.
            18         1.931         4.283
            19         1.912         4.565
            20         1.879         4.845
            21         1.833         5.123
            22         1.774         5.396
            23         1.701         5.664
            24         1.615         5.926
            25         1.515         6.182
            26         1.402         6.430
            27         1.273         6.671
            28         1.129         6.902
            29     968.8E-03         7.125
            30     788.6E-03         7.339
            31     584.7E-03         7.546
            32     348.7E-03         7.754
            33            0.            8.
            34     437.3E-36     193.1E-36
            35     213.8E-03     185.8E-03
            36     418.4E-03     392.8E-03
            37     606.1E-03     606.7E-03
            38     772.5E-03     826.3E-03
            39     921.5E-03         1.054
            40         1.055         1.290
            41         1.174         1.535
            42         1.279         1.787
            43         1.371         2.047
            44         1.451         2.313
            45         1.518         2.585
            46         1.572         2.862
            47         1.615         3.143
            48         1.645         3.427
            49         1.663         3.713
            50         1.669            4.
            51         1.663         4.287
            52         1.645         4.573
            53         1.615         4.857
            54         1.572         5.138
            55         1.518         5.415
            56         1.451         5.687
            57         1.371         5.953
            58         1.279         6.213
            59         1.174         6.465
            60         1.055         6.710
            61     921.5E-03         6.946
            62     772.5E-03         7.174
            63     606.1E-03         7.393
            64     418.4E-03         7.607
            65     213.8E-03         7.814
            66     437.3E-36            8.
            67     365.8E-36     166.0E-36
            68     155.7E-03     156.2E-03
            69     316.7E-03     351.6E-03
            70     472.7E-03     563.2E-03
            71     617.6E-03     784.8E-03
            72     750.0E-03         1.016
            73     869.8E-03         1.255
            74     977.3E-03         1.503
            75         1.073         1.759
            76         1.157         2.023
            77         1.229         2.292
            78         1.290         2.568
            79         1.340         2.848
            80         1.379         3.133
            81         1.406         3.420
            82         1.423         3.710
            83         1.428            4.
            84         1.423         4.290
            85         1.406         4.580
            86         1.379         4.867
            87         1.340         5.152
            88         1.290         5.432
            89         1.229         5.708
            90         1.157         5.977
            91         1.073         6.241
            92     977.3E-03         6.497
            93     869.8E-03         6.745
            94     750.0E-03         6.984
            95     617.6E-03         7.215
            96     472.7E-03         7.437
            97     316.7E-03         7.648
            98     155.7E-03         7.844
            99     365.8E-36            8.
           100     302.7E-36     146.7E-36
           101     123.3E-03     146.4E-03
           102     249.5E-03     328.6E-03
           103     375.4E-03     533.5E-03
           104     496.6E-03     753.3E-03
           105     610.1E-03     984.7E-03
           106     714.6E-03         1.226
           107     809.4E-03         1.476
           108     894.2E-03         1.735
           109     969.0E-03         2.001
           110         1.034         2.274
           111         1.089         2.553
           112         1.133         2.836
