
                  X              shear2D_16   

                0.                 0.         
               10.3193          -316.442E-03  
               20.4818          -477.181E-03  
               30.6534          -645.978E-03  
               40.7669          -756.762E-03  
               50.8691          -855.48E-03   
               60.9357          -918.512E-03  
               70.9803          -959.25E-03   
               80.9971          -972.006E-03  
               90.9883          -959.25E-03   
              100.951           -918.512E-03  
              110.892           -855.48E-03   
              120.797           -756.762E-03  
              130.689           -645.978E-03  
              140.523           -477.181E-03  
              150.364           -316.442E-03  
              160.051              0.         




