********************************************************************************
Field Output Report, written Wed Jul 05 10:41:20 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.            8.    -784.2E-03
             2     8.265E-33            8.    -508.5E-03
             3     4.894E-33            8.    -251.5E-03
             4     2.690E-33            8.     156.6E-18
             5    -1.116E-33            8.     251.5E-03
             6    -7.300E-33            8.     508.5E-03
             7           -0.            8.     784.2E-03
             8     5.419E-33            8.    -495.5E-03
             9     23.48E-33            8.    -373.2E-03
            10     10.54E-33            8.    -193.0E-03
            11     2.001E-33            8.     114.7E-18
            12    -8.245E-33            8.     193.0E-03
            13    -23.75E-33            8.     373.2E-03
            14    -5.419E-33            8.     495.5E-03
            15     5.435E-33            8.    -316.1E-03
            16     25.39E-33            8.    -251.7E-03
            17     11.44E-33            8.    -134.7E-03
            18     2.253E-33            8.    -386.2E-18
            19    -8.673E-33            8.     134.7E-03
            20    -24.49E-33            8.     251.7E-03
            21    -5.435E-33            8.     316.1E-03
            22     5.353E-33            8.    -195.6E-03
            23     26.03E-33            8.    -160.2E-03
            24     11.74E-33            8.    -87.68E-03
            25     2.316E-33            8.    -102.3E-18
            26    -8.846E-33            8.     87.68E-03
            27    -24.73E-33            8.     160.2E-03
            28    -5.353E-33            8.     195.6E-03
            29     5.343E-33            8.    -112.1E-03
            30     26.24E-33            8.    -93.23E-03
            31     11.84E-33            8.    -51.80E-03
            32     2.333E-33            8.    -122.4E-18
            33    -8.903E-33            8.     51.80E-03
            34    -24.80E-33            8.     93.23E-03
            35    -5.343E-33            8.     112.1E-03
            36     5.355E-33            8.    -50.86E-03
            37     26.32E-33            8.    -42.65E-03
            38     11.88E-33            8.    -23.88E-03
            39     2.341E-33            8.    -82.94E-18
