
                  X              shear3D_32   

                0.              -370.819E-03  
                5.13701         -370.135E-03  
               10.2461          -353.023E-03  
               15.3414          -337.608E-03  
               20.4272          -318.141E-03  
               25.5046          -297.486E-03  
               30.5746          -274.953E-03  
               35.6377          -251.118E-03  
               40.6941          -226.044E-03  
               45.744           -199.948E-03  
               50.7875          -172.963E-03  
               55.8247          -145.24E-03   
               60.8556          -116.908E-03  
               65.8802           -88.0964E-03 
               70.8985           -58.9277E-03 
               75.9104           -29.5227E-03 
               80.916           -162.732E-18  
               85.9152            29.5227E-03 
               90.908             58.9277E-03 
               95.8944            88.0964E-03 
              100.874            116.908E-03  
              105.848            145.24E-03   
              110.815            172.963E-03  
              115.775            199.948E-03  
              120.729            226.044E-03  
              125.676            251.118E-03  
              130.616            274.953E-03  
              135.549            297.486E-03  
              140.474            318.141E-03  
              145.391            337.608E-03  
              150.297            353.023E-03  
              155.189            370.135E-03  
              160.054            370.819E-03  




