********************************************************************************
Field Output Report, written Fri Jun 30 12:57:12 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_ELASTIC_elem_5_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            0.            8.    -741.6E-03
             2    -2.402E-33            8.    -712.2E-03
             3    -1.906E-33            8.    -642.9E-03
             4    -1.548E-33            8.    -578.0E-03
             5    -1.301E-33            8.    -510.3E-03
             6    -1.107E-33            8.    -443.7E-03
             7    -951.3E-36            8.    -377.9E-03
             8    -820.6E-36            8.    -313.0E-03
             9    -706.5E-36            8.    -249.1E-03
            10    -603.0E-36            8.    -186.0E-03
            11    -505.4E-36            8.    -123.6E-03
            12    -409.9E-36            8.    -61.69E-03
            13    -313.3E-36            8.    -49.64E-18
            14    -212.6E-36            8.     61.69E-03
            15    -105.1E-36            8.     123.6E-03
            16     11.95E-36            8.     186.0E-03
            17     141.5E-36            8.     249.1E-03
            18     287.1E-36            8.     313.0E-03
            19     452.3E-36            8.     377.9E-03
            20     645.3E-36            8.     443.7E-03
            21     868.7E-36            8.     510.3E-03
            22     1.161E-33            8.     578.0E-03
            23     1.494E-33            8.     642.9E-03
            24     2.336E-33            8.     712.2E-03
            25           -0.            8.     741.6E-03
            26    -4.046E-33            8.    -669.0E-03
            27    -7.702E-33            8.    -643.1E-03
            28    -5.735E-33            8.    -593.5E-03
            29    -4.608E-33            8.    -536.0E-03
            30    -3.764E-33            8.    -476.6E-03
            31    -3.107E-33            8.    -416.1E-03
            32    -2.567E-33            8.    -355.6E-03
            33    -2.109E-33            8.    -295.3E-03
            34    -1.709E-33            8.    -235.5E-03
            35    -1.349E-33            8.    -176.1E-03
            36    -1.016E-33            8.    -117.2E-03
            37    -698.7E-36            8.    -58.51E-03
            38    -386.3E-36            8.    -32.21E-18
