********************************************************************************
Field Output Report, written Thu Jul 06 10:07:44 2017

Source 1
---------

   ODB: D:/Abaqus_working/2D_SHEAR_FORCE_ELASTIC_elemSize_10_160x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2
                      @Loc 1        @Loc 1
-------------------------------------------
             1            0.            0.
             2         2.647         2.096
             3         4.506         4.052
             4         5.953         6.205
             5         7.099         8.509
             6         7.977         10.95
             7         8.601         13.50
             8         8.976         16.12
             9         9.103         18.79
            10         8.982         21.45
            11         8.613         24.08
            12         7.994         26.63
            13         7.118         29.07
            14         5.971         31.38
            15         4.513         33.51
            16         2.632         35.44
            17            0.         36.99
            18     9.331E-33     4.172E-33
            19         1.405         1.569
            20         2.849         3.642
            21         4.050         5.857
            22         5.014         8.233
            23         5.756         10.74
            24         6.282         13.36
            25         6.598         16.06
            26         6.705         18.79
            27         6.603         21.52
            28         6.293         24.21
            29         5.772         26.83
            30         5.036         29.35
            31         4.078         31.72
            32         2.889         33.93
            33         1.482         35.92
            34     9.571E-33         37.51
            35     7.044E-33     3.694E-33
            36     925.4E-03         1.446
            37         1.843         3.383
            38         2.711         5.611
            39         3.448         8.022
            40         4.029         10.58
            41         4.447         13.25
            42         4.700         16.00
            43         4.785         18.79
            44         4.705         21.57
            45         4.458         24.32
            46         4.045         26.99
            47         3.471         29.56
            48         2.743         31.97
            49         1.886         34.18
            50     955.8E-03         36.12
            51     7.258E-33         37.65
            52     5.513E-33     3.357E-33
            53     604.9E-03         1.430
            54         1.199         3.288
            55         1.769         5.470
            56         2.279         7.884
            57         2.696         10.47
            58         3.002         13.17
            59         3.188         15.96
            60         3.252         18.78
            61         3.192         21.61
            62         3.010         24.40
            63         2.710         27.11
            64         2.299         29.69
            65         1.793         32.11
            66         1.221         34.29
            67     615.5E-03         36.18
            68     5.658E-33         37.68
            69     4.349E-33     3.073E-33
            70     369.0E-03         1.443
            71     725.6E-03         3.264
            72         1.070         5.409
            73         1.384         7.807
            74         1.647         10.39
            75         1.844         13.12
            76         1.966         15.93
            77         2.008         18.78
            78         1.969         21.64
            79         1.851         24.45
            80         1.657         27.18
            81         1.396         29.77
            82         1.083         32.17
            83     734.4E-03         34.33
            84     369.6E-03         36.18
            85     4.427E-33         37.67
            86     3.342E-33     2.793E-33
            87     175.2E-03         1.457
            88     342.9E-03         3.264
            89     504.4E-03         5.388
            90     653.2E-03         7.772
            91     779.7E-03         10.36
            92     875.6E-03         13.09
            93     935.3E-03         15.91
            94     956.1E-03         18.78
            95     937.0E-03         21.65
            96     879.0E-03         24.48
            97     784.8E-03         27.21
            98     659.2E-03         29.80
            99     509.7E-03         32.20
           100     345.2E-03         34.34
           101     173.7E-03         36.17
           102     3.384E-33         37.65
           103     2.370E-33     2.487E-33
           104    -29.18E-18         1.463
           105    -36.49E-18         3.266
           106    -167.4E-18         5.383
           107    -174.4E-18         7.763
           108    -906.4E-18         10.35
           109    -958.7E-18         13.08
           110    -336.6E-18         15.91
           111    -215.1E-18         18.78
           112     692.8E-18         21.66
           113     285.4E-18         24.49
           114     418.2E-18         27.22
