********************************************************************************
Field Output Report, written Thu Jul 06 10:10:02 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_UNIAX_FORCE_ELASTIC_elem_20_160x120x120mm_intp_2_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1            8.        -1.800        -1.800
             2            8.          -1.5        -1.800
             3            8.        -1.200        -1.800
             4            8.    -900.0E-03        -1.800
             5            8.    -600.0E-03        -1.800
             6            8.    -300.0E-03        -1.800
             7            8.            0.        -1.800
             8            8.        -1.800          -1.5
             9            8.          -1.5          -1.5
            10            8.        -1.200          -1.5
            11            8.    -900.0E-03          -1.5
            12            8.    -600.0E-03          -1.5
            13            8.    -300.0E-03          -1.5
            14            8.            0.          -1.5
            15            8.        -1.800        -1.200
            16            8.          -1.5        -1.200
            17            8.        -1.200        -1.200
            18            8.    -900.0E-03        -1.200
            19            8.    -600.0E-03        -1.200
            20            8.    -300.0E-03        -1.200
            21            8.            0.        -1.200
            22            8.        -1.800    -900.0E-03
            23            8.          -1.5    -900.0E-03
            24            8.        -1.200    -900.0E-03
            25            8.    -900.0E-03    -900.0E-03
            26            8.    -600.0E-03    -900.0E-03
            27            8.    -300.0E-03    -900.0E-03
            28            8.            0.    -900.0E-03
            29            8.        -1.800    -600.0E-03
            30            8.          -1.5    -600.0E-03
            31            8.        -1.200    -600.0E-03
            32            8.    -900.0E-03    -600.0E-03
            33            8.    -600.0E-03    -600.0E-03
            34            8.    -300.0E-03    -600.0E-03
            35            8.            0.    -600.0E-03
            36            8.        -1.800    -300.0E-03
            37            8.          -1.5    -300.0E-03
            38            8.        -1.200    -300.0E-03
            39            8.    -900.0E-03    -300.0E-03
            40            8.    -600.0E-03    -300.0E-03
            41            8.    -300.0E-03    -300.0E-03
            42            8.            0.    -300.0E-03
            43            8.        -1.800            0.
            44            8.          -1.5            0.
