********************************************************************************
Field Output Report, written Thu Jul 06 10:09:25 2017

Source 1
---------

   ODB: D:/Abaqus_working/3D_SHEAR_FORCE_ELASTIC_elem_5_160x120x120mm_intp_1_DIRECT.odb
   Step: Load
   Frame: Increment      5: Step Time =    5.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: RECTANGULARINSTANCE

    Node Label          U.U1          U.U2          U.U3
                      @Loc 1        @Loc 1        @Loc 1
---------------------------------------------------------
             1           -0.         38.62        -4.433
             2    -13.27E-33         38.94        -4.029
             3    -10.97E-33         39.04        -3.545
             4    -9.334E-33         39.07        -3.128
             5    -8.113E-33         39.07        -2.729
             6    -7.138E-33         39.06        -2.353
             7    -6.336E-33         39.03        -1.991
             8    -5.656E-33         39.00        -1.642
             9    -5.065E-33         38.97        -1.303
            10    -4.537E-33         38.94    -971.0E-03
            11    -4.052E-33         38.92    -644.4E-03
            12    -3.593E-33         38.91    -321.3E-03
            13    -3.142E-33         38.90     403.5E-18
            14    -2.686E-33         38.91     321.3E-03
            15    -2.207E-33         38.92     644.4E-03
            16    -1.689E-33         38.94     971.0E-03
            17    -1.112E-33         38.97         1.303
            18    -452.5E-36         39.00         1.642
            19     320.0E-36         39.03         1.991
            20     1.254E-33         39.06         2.353
            21     2.406E-33         39.07         2.729
            22     3.961E-33         39.07         3.128
            23     6.030E-33         39.04         3.545
            24     11.12E-33         38.94         4.029
            25            0.         38.62         4.433
            26    -18.89E-33         38.23        -4.074
            27    -39.81E-33         38.55        -3.692
            28    -29.66E-33         38.65        -3.308
            29    -23.88E-33         38.70        -2.926
            30    -19.63E-33         38.72        -2.564
            31    -16.33E-33         38.72        -2.216
            32    -13.63E-33         38.70        -1.879
            33    -11.36E-33         38.68        -1.552
            34    -9.403E-33         38.66        -1.233
            35    -7.663E-33         38.64    -919.6E-03
            36    -6.076E-33         38.62    -610.7E-03
            37    -4.583E-33         38.61    -304.6E-03
            38    -3.132E-33         38.60     37.73E-18
            39    -1.675E-33         38.61     304.6E-03
            40    -161.8E-36         38.62     610.7E-03
